River Flow Rate (m³/s),Temperature Drop (ΔT) (°C),Heat Extraction Potential (kWh),COP (Coefficient of Performance),Heat Pump Output (kWh)
43.13,3,1947060720.0000002,4,7788242880.000001
29.81,3,1345742639.9999998,4,5382970559.999999
33.6,3,1516838400.0,4,6067353600.0
26.96,3,1217082240.0,4,4868328960.0
16.77,3,757064880.0,4,3028259520.0
24.79,3,1119119760.0,4,4476479040.0
47.84,3,2159688960.0000005,4,8638755840.000002
48.32,3,2181358080.0,4,8725432320.0
23.33,3,1053209519.9999999,4,4212838079.9999995
13.86,3,625695840.0,4,2502783360.0
39.2,3,1769644800.0000002,4,7078579200.000001
33.92,3,1531284480.0000002,4,6125137920.000001
31.9,3,1440093600.0,4,5760374400.0
18.54,3,836969759.9999999,4,3347879039.9999995
22.23,3,1003551120.0,4,4014204480.0
17.36,3,783699840.0,4,3134799360.0
35.34,3,1595388960.0000002,4,6381555840.000001
31.27,3,1411652880.0,4,5646611520.0
39.53,3,1784542320.0,4,7138169280.0
25.0,3,1128600000.0,4,4514400000.0
19.13,3,863604719.9999999,4,3454418879.9999995
42.7,3,1927648800.0,4,7710595200.0
34.33,3,1549793519.9999998,4,6199174079.999999
32.07,3,1447768080.0,4,5791072320.0
36.12,3,1630601280.0,4,6522405120.0
28.46,3,1284798240.0,4,5139192960.0
42.98,3,1940289119.9999998,4,7761156479.999999
36.18,3,1633309920.0,4,6533239680.0
34.7,3,1566496800.0000002,4,6265987200.000001
23.8,3,1074427200.0,4,4297708800.0
35.21,3,1589520240.0,4,6358080960.0
48.51,3,2189935440.0,4,8759741760.0
31.38,3,1416618720.0,4,5666474880.0
32.9,3,1485237600.0,4,5940950400.0
27.71,3,1250940240.0,4,5003760960.0
30.94,3,1396755360.0000002,4,5587021440.000001
42.79,3,1931711760.0,4,7726847040.0
30.58,3,1380503519.9999998,4,5522014079.999999
22.67,3,1023414480.0000001,4,4093657920.0000005
44.57,3,2012068080.0000002,4,8048272320.000001
43.99,3,1985884560.0,4,7943538240.0
11.73,3,529539120.00000006,4,2118156480.0000002
21.78,3,983236320.0,4,3932945280.0
24.33,3,1098353519.9999998,4,4393414079.999999
39.1,3,1765130400.0,4,7060521600.0
48.21,3,2176392240.0,4,8705568960.0
24.24,3,1094290560.0,4,4377162240.0
12.11,3,546693840.0,4,2186775360.0
22.31,3,1007162639.9999999,4,4028650559.9999995
16.98,3,766545120.0,4,3066180480.0
14.63,3,660456720.0,4,2641826880.0
17.96,3,810786240.0000001,4,3243144960.0000005
48.33,3,2181809520.0,4,8727238080.0
15.65,3,706503600.0,4,2826014400.0
11.33,3,511481520.00000006,4,2045926080.0000002
21.84,3,985944959.9999999,4,3943779839.9999995
17.0,3,767448000.0,4,3069792000.0
47.04,3,2123573760.0,4,8494295040.0
43.09,3,1945254960.0000002,4,7781019840.000001
35.25,3,1591326000.0,4,6365304000.0
35.69,3,1611189360.0,4,6444757440.0
10.72,3,483943680.00000006,4,1935774720.0000002
30.66,3,1384115040.0,4,5536460160.0
15.91,3,718241040.0,4,2872964160.0
23.92,3,1079844480.0000002,4,4319377920.000001
12.52,3,565202880.0,4,2260811520.0
13.33,3,601769520.0,4,2407078080.0
16.55,3,747133200.0,4,2988532800.0
27.33,3,1233785519.9999998,4,4935142079.999999
11.13,3,502452720.00000006,4,2009810880.0000002
44.79,3,2021999760.0,4,8087999040.0
10.77,3,486200879.99999994,4,1944803519.9999998
39.79,3,1796279760.0,4,7185119040.0
48.6,3,2193998400.0,4,8775993600.0
29.75,3,1343034000.0,4,5372136000.0
17.87,3,806723280.0000001,4,3226893120.0000005
26.7,3,1205344800.0,4,4821379200.0
26.27,3,1185932880.0,4,4743731520.0
33.94,3,1532187360.0,4,6128749440.0
37.78,3,1705540320.0,4,6822161280.0
49.04,3,2213861760.0,4,8855447040.0
33.73,3,1522707119.9999998,4,6090828479.999999
27.3,3,1232431200.0,4,4929724800.0
48.54,3,2191289760.0,4,8765159040.0
44.41,3,2004845039.9999998,4,8019380159.999999
19.68,3,888433919.9999999,4,3553735679.9999995
44.23,3,1996719119.9999998,4,7986876479.999999
23.61,3,1065849839.9999999,4,4263399359.9999995
29.36,3,1325427839.9999998,4,5301711359.999999
18.43,3,832003919.9999999,4,3328015679.9999995
43.96,3,1984530240.0,4,7938120960.0
20.2,3,911908800.0,4,3647635200.0
19.95,3,900622800.0,4,3602491200.0
14.02,3,632918880.0,4,2531675520.0
21.66,3,977819040.0000001,4,3911276160.0000005
28.37,3,1280735280.0,4,5122941120.0
30.69,3,1385469360.0000002,4,5541877440.000001
10.82,3,488458080.00000006,4,1953832320.0000002
20.15,3,909651599.9999999,4,3638606399.9999995
39.05,3,1762873199.9999998,4,7051492799.999999
32.95,3,1487494800.0000002,4,5949979200.000001
13.95,3,629758800.0,4,2519035200.0
33.98,3,1533993119.9999998,4,6135972479.999999
34.72,3,1567399680.0,4,6269598720.0
43.88,3,1980918720.0000002,4,7923674880.000001
37.86,3,1709151839.9999998,4,6836607359.999999
23.87,3,1077587280.0,4,4310349120.0
22.27,3,1005356880.0,4,4021427520.0
29.07,3,1312336080.0,4,5249344320.0
47.73,3,2154723120.0,4,8618892480.0
14.93,3,673999919.9999999,4,2695999679.9999995
44.91,3,2027417039.9999998,4,8109668159.999999
41.82,3,1887922080.0000002,4,7551688320.000001
29.13,3,1315044720.0,4,5260178880.0
46.79,3,2112287760.0,4,8449151040.0
26.21,3,1183224240.0,4,4732896960.0
42.42,3,1915008480.0000002,4,7660033920.000001
16.78,3,757516320.0,4,3030065280.0
47.0,3,2121768000.0,4,8487072000.0
31.89,3,1439642160.0000002,4,5758568640.000001
18.73,3,845547120.0,4,3382188480.0
23.78,3,1073524320.0,4,4294097280.0
15.96,3,720498240.0000001,4,2881992960.0000005
15.58,3,703343520.0,4,2813374080.0
37.03,3,1671682320.0,4,6686729280.0
18.93,3,854575919.9999999,4,3418303679.9999995
11.22,3,506515680.00000006,4,2026062720.0000002
18.13,3,818460719.9999999,4,3273842879.9999995
21.77,3,982784880.0,4,3931139520.0
45.09,3,2035542960.0000002,4,8142171840.000001
36.99,3,1669876560.0000002,4,6679506240.000001
15.78,3,712372319.9999999,4,2849489279.9999995
35.9,3,1620669600.0,4,6482678400.0
20.99,3,947572559.9999999,4,3790290239.9999995
47.94,3,2164203360.0,4,8656813440.0
29.17,3,1316850480.0000002,4,5267401920.000001
48.97,3,2210701679.9999995,4,8842806719.999998
32.47,3,1465825680.0,4,5863302720.0
31.12,3,1404881280.0,4,5619525120.0
28.21,3,1273512240.0,4,5094048960.0
40.33,3,1820657519.9999998,4,7282630079.999999
44.01,3,1986787440.0,4,7947149760.0
49.09,3,2216118960.0000005,4,8864475840.000002
48.37,3,2183615279.9999995,4,8734461119.999998
33.33,3,1504649519.9999998,4,6018598079.999999
16.11,3,727269840.0,4,2909079360.0
36.85,3,1663556400.0,4,6654225600.0
42.17,3,1903722480.0000002,4,7614889920.000001
39.54,3,1784993760.0,4,7139975040.0
48.17,3,2174586480.0,4,8698345920.0
44.28,3,1998976320.0000002,4,7995905280.000001
35.92,3,1621572480.0000002,4,6486289920.000001
19.36,3,873987840.0,4,3495951360.0
38.96,3,1758810240.0,4,7035240960.0
43.29,3,1954283760.0,4,7817135040.0
43.28,3,1953832320.0000002,4,7815329280.000001
21.43,3,967435920.0,4,3869743680.0
49.54,3,2236433760.0,4,8945735040.0
25.06,3,1131308639.9999998,4,4525234559.999999
19.61,3,885273840.0,4,3541095360.0
18.28,3,825232320.0,4,3300929280.0
22.2,3,1002196800.0,4,4008787200.0
30.36,3,1370571839.9999998,4,5482287359.999999
28.03,3,1265386320.0,4,5061545280.0
33.46,3,1510518240.0,4,6042072960.0
31.42,3,1418424480.0000002,4,5673697920.000001
47.33,3,2136665519.9999998,4,8546662079.999999
33.15,3,1496523600.0,4,5986094400.0
27.09,3,1222950960.0,4,4891803840.0
39.98,3,1804857119.9999998,4,7219428479.999999
25.8,3,1164715200.0,4,4658860800.0
47.28,3,2134408320.0000002,4,8537633280.000001
33.58,3,1515935519.9999998,4,6063742079.999999
34.09,3,1538958960.0000002,4,6155835840.000001
35.01,3,1580491439.9999998,4,6321965759.999999
46.28,3,2089264320.0000002,4,8357057280.000001
46.53,3,2100550320.0000002,4,8402201280.000001
30.91,3,1395401040.0,4,5581604160.0
36.46,3,1645950240.0,4,6583800960.0
43.73,3,1974147119.9999998,4,7896588479.999999
38.4,3,1733529600.0,4,6934118400.0
19.23,3,868119120.0,4,3472476480.0
44.13,3,1992204720.0000002,4,7968818880.000001
27.65,3,1248231600.0,4,4992926400.0
43.52,3,1964666880.0000002,4,7858667520.000001
46.31,3,2090618640.0,4,8362474560.0
30.12,3,1359737280.0,4,5438949120.0
49.58,3,2238239520.0,4,8952958080.0
46.83,3,2114093519.9999998,4,8456374079.999999
39.57,3,1786348080.0,4,7145392320.0
28.8,3,1300147200.0,4,5200588800.0
30.05,3,1356577200.0,4,5426308800.0
23.55,3,1063141200.0,4,4252564800.0
40.86,3,1844583839.9999998,4,7378335359.999999
32.3,3,1458151199.9999998,4,5832604799.999999
17.11,3,772413840.0,4,3089655360.0
47.46,3,2142534240.0,4,8570136960.0
44.31,3,2000330640.0,4,8001322560.0
20.09,3,906942960.0,4,3627771840.0
37.32,3,1684774080.0,4,6739096320.0
16.97,3,766093680.0,4,3064374720.0
41.3,3,1864447199.9999998,4,7457788799.999999
48.16,3,2174135039.9999995,4,8696540159.999998
24.04,3,1085261760.0,4,4341047040.0
47.86,3,2160591840.0,4,8642367360.0
38.96,3,1758810240.0,4,7035240960.0
42.95,3,1938934800.0,4,7755739200.0
35.72,3,1612543680.0,4,6450174720.0
12.02,3,542630880.0,4,2170523520.0
25.3,3,1142143200.0,4,4568572800.0
18.6,3,839678400.0000001,4,3358713600.0000005
31.72,3,1431967680.0,4,5727870720.0
40.44,3,1825623360.0,4,7302493440.0
49.35,3,2227856400.0,4,8911425600.0
11.91,3,537665040.0,4,2150660160.0
10.54,3,475817759.99999994,4,1903271039.9999998
23.5,3,1060884000.0,4,4243536000.0
15.73,3,710115120.0,4,2840460480.0
12.23,3,552111120.0,4,2208444480.0
43.28,3,1953832320.0000002,4,7815329280.000001
21.24,3,958858559.9999999,4,3835434239.9999995
35.82,3,1617058080.0,4,6468232320.0
21.13,3,953892720.0,4,3815570880.0
17.04,3,769253759.9999999,4,3077015039.9999995
18.54,3,836969759.9999999,4,3347879039.9999995
42.09,3,1900110960.0000002,4,7600443840.000001
33.68,3,1520449920.0,4,6081799680.0
41.1,3,1855418400.0,4,7421673600.0
40.76,3,1840069439.9999998,4,7360277759.999999
28.43,3,1283443920.0,4,5133775680.0
44.47,3,2007553679.9999998,4,8030214719.999999
33.4,3,1507809600.0,4,6031238400.0
38.28,3,1728112320.0,4,6912449280.0
22.15,3,999939600.0,4,3999758400.0
34.21,3,1544376240.0,4,6177504960.0
27.55,3,1243717200.0,4,4974868800.0
22.36,3,1009419839.9999999,4,4037679359.9999995
18.64,3,841484160.0,4,3365936640.0
27.77,3,1253648880.0,4,5014595520.0
27.06,3,1221596639.9999998,4,4886386559.999999
37.35,3,1686128400.0,4,6744513600.0
47.39,3,2139374160.0,4,8557496640.0
13.02,3,587774880.0,4,2351099520.0
48.42,3,2185872480.0,4,8743489920.0
17.56,3,792728640.0,4,3170914560.0
46.66,3,2106419039.9999998,4,8425676159.999999
45.66,3,2061275039.9999998,4,8245100159.999999
36.37,3,1641887280.0,4,6567549120.0
30.74,3,1387726560.0,4,5550906240.0
18.87,3,851867280.0000001,4,3407469120.0000005
32.01,3,1445059439.9999998,4,5780237759.999999
14.36,3,648267840.0,4,2593071360.0
42.68,3,1926745919.9999998,4,7706983679.999999
30.61,3,1381857839.9999998,4,5527431359.999999
29.86,3,1347999839.9999998,4,5391999359.999999
33.43,3,1509163920.0,4,6036655680.0
24.41,3,1101965040.0,4,4407860160.0
42.34,3,1911396960.0000002,4,7645587840.000001
12.69,3,572877360.0,4,2291509440.0
17.26,3,779185440.0000001,4,3116741760.0000005
25.21,3,1138080240.0,4,4552320960.0
48.57,3,2192644080.0,4,8770576320.0
44.34,3,2001684960.0000002,4,8006739840.000001
32.67,3,1474854480.0000002,4,5899417920.000001
26.28,3,1186384320.0,4,4745537280.0
31.75,3,1433322000.0,4,5733288000.0
42.64,3,1924940160.0,4,7699760640.0
41.95,3,1893790800.0,4,7575163200.0
11.51,3,519607440.0,4,2078429760.0
38.91,3,1756553039.9999998,4,7026212159.999999
39.65,3,1789959600.0,4,7159838400.0
38.34,3,1730820960.0000002,4,6923283840.000001
11.48,3,518253120.00000006,4,2073012480.0000002
13.86,3,625695840.0,4,2502783360.0
29.91,3,1350257040.0,4,5401028160.0
45.76,3,2065789440.0,4,8263157760.0
40.64,3,1834652160.0000002,4,7338608640.000001
27.8,3,1255003200.0,4,5020012800.0
23.41,3,1056821040.0000001,4,4227284160.0000005
22.9,3,1033797600.0,4,4135190400.0
15.2,3,686188800.0,4,2744755200.0
36.44,3,1645047360.0,4,6580189440.0
34.06,3,1537604640.0,4,6150418560.0
32.3,3,1458151199.9999998,4,5832604799.999999
22.56,3,1018448639.9999999,4,4073794559.9999995
45.11,3,2036445840.0,4,8145783360.0
45.68,3,2062177919.9999998,4,8248711679.999999
19.59,3,884370960.0,4,3537483840.0
12.65,3,571071600.0,4,2284286400.0
37.64,3,1699220160.0000002,4,6796880640.000001
49.02,3,2212958880.0,4,8851835520.0
14.6,3,659102400.0,4,2636409600.0
17.65,3,796791599.9999999,4,3187166399.9999995
35.76,3,1614349439.9999998,4,6457397759.999999
34.08,3,1538507519.9999998,4,6154030079.999999
48.12,3,2172329279.9999995,4,8689317119.999998
42.85,3,1934420400.0,4,7737681600.0
42.61,3,1923585840.0,4,7694343360.0
36.49,3,1647304560.0000002,4,6589218240.000001
17.56,3,792728640.0,4,3170914560.0
29.51,3,1332199440.0,4,5328797760.0
48.31,3,2180906640.0,4,8723626560.0
19.45,3,878050800.0,4,3512203200.0
38.74,3,1748878560.0000002,4,6995514240.000001
39.21,3,1770096240.0,4,7080384960.0
19.18,3,865861919.9999999,4,3463447679.9999995
34.03,3,1536250320.0,4,6145001280.0
14.56,3,657296640.0,4,2629186560.0
19.07,3,860896080.0000001,4,3443584320.0000005
22.76,3,1027477440.0000001,4,4109909760.0000005
48.47,3,2188129679.9999995,4,8752518719.999998
41.83,3,1888373519.9999998,4,7553494079.999999
40.6,3,1832846400.0,4,7331385600.0
16.15,3,729075599.9999999,4,2916302399.9999995
15.49,3,699280560.0,4,2797122240.0
46.01,3,2077075440.0,4,8308301760.0
30.38,3,1371474720.0,4,5485898880.0
34.02,3,1535798880.0000002,4,6143195520.000001
22.35,3,1008968400.0,4,4035873600.0
48.64,3,2195804160.0,4,8783216640.0
16.85,3,760676400.0000001,4,3042705600.0000005
24.72,3,1115959680.0,4,4463838720.0
34.73,3,1567851119.9999998,4,6271404479.999999
30.26,3,1366057440.0,4,5464229760.0
48.75,3,2200770000.0,4,8803080000.0
45.07,3,2034640080.0000002,4,8138560320.000001
46.37,3,2093327279.9999998,4,8373309119.999999
41.65,3,1880247600.0,4,7520990400.0
27.13,3,1224756720.0,4,4899026880.0
14.28,3,644656319.9999999,4,2578625279.9999995
36.28,3,1637824320.0,4,6551297280.0
12.82,3,578746080.0000001,4,2314984320.0000005
27.46,3,1239654240.0,4,4958616960.0
18.42,3,831552480.0000001,4,3326209920.0000005
47.29,3,2134859760.0,4,8539439040.0
26.59,3,1200378960.0,4,4801515840.0
20.29,3,915971759.9999999,4,3663887039.9999995
30.36,3,1370571839.9999998,4,5482287359.999999
27.59,3,1245522960.0,4,4982091840.0
18.92,3,854124480.0000001,4,3416497920.0000005
36.62,3,1653173280.0,4,6612693120.0
40.55,3,1830589199.9999998,4,7322356799.999999
43.3,3,1954735200.0,4,7818940800.0
40.44,3,1825623360.0,4,7302493440.0
16.78,3,757516320.0,4,3030065280.0
19.73,3,890691120.0,4,3562764480.0
21.17,3,955698480.0000001,4,3822793920.0000005
22.4,3,1011225600.0,4,4044902400.0
19.67,3,887982480.0000001,4,3551929920.0000005
45.95,3,2074366800.0,4,8297467200.0
36.38,3,1642338720.0,4,6569354880.0
46.8,3,2112739200.0,4,8450956800.0
30.48,3,1375989120.0,4,5503956480.0
28.07,3,1267192080.0,4,5068768320.0
13.69,3,618021360.0,4,2472085440.0
17.05,3,769705200.0,4,3078820800.0
46.07,3,2079784080.0000002,4,8319136320.000001
30.34,3,1369668960.0,4,5478675840.0
10.39,3,469046160.0,4,1876184640.0
26.75,3,1207602000.0,4,4830408000.0
16.31,3,736298640.0,4,2945194560.0
41.72,3,1883407680.0,4,7533630720.0
24.19,3,1092033360.0000002,4,4368133440.000001
21.53,3,971950320.0,4,3887801280.0
39.32,3,1775062080.0,4,7100248320.0
20.49,3,925000559.9999999,4,3700002239.9999995
44.01,3,1986787440.0,4,7947149760.0
24.31,3,1097450639.9999998,4,4389802559.999999
34.96,3,1578234240.0,4,6312936960.0
35.37,3,1596743280.0,4,6386973120.0
43.67,3,1971438480.0000002,4,7885753920.000001
22.02,3,994070880.0,4,3976283520.0
21.12,3,953441280.0,4,3813765120.0
45.02,3,2032382880.0000002,4,8129531520.000001
12.44,3,561591360.0,4,2246365440.0
22.58,3,1019351519.9999999,4,4077406079.9999995
22.86,3,1031991839.9999999,4,4127967359.9999995
24.98,3,1127697120.0,4,4510788480.0
25.26,3,1140337440.0,4,4561349760.0
25.68,3,1159297920.0,4,4637191680.0
48.96,3,2210250240.0,4,8841000960.0
35.08,3,1583651519.9999998,4,6334606079.999999
15.7,3,708760800.0,4,2835043200.0
18.11,3,817557840.0,4,3270231360.0
13.16,3,594095040.0,4,2376380160.0
20.73,3,935835120.0,4,3743340480.0
15.76,3,711469440.0,4,2845877760.0
30.59,3,1380954960.0,4,5523819840.0
26.01,3,1174195440.0,4,4696781760.0
17.97,3,811237680.0,4,3244950720.0
28.65,3,1293375600.0,4,5173502400.0
13.44,3,606735360.0,4,2426941440.0
21.82,3,985042080.0,4,3940168320.0
41.59,3,1877538960.0000002,4,7510155840.000001
27.05,3,1221145200.0,4,4884580800.0
23.77,3,1073072880.0,4,4292291520.0
19.15,3,864507599.9999999,4,3458030399.9999995
35.18,3,1588165920.0,4,6352663680.0
40.75,3,1839618000.0,4,7358472000.0
26.26,3,1185481440.0,4,4741925760.0
37.2,3,1679356800.0000002,4,6717427200.000001
17.31,3,781442640.0,4,3125770560.0
14.39,3,649622160.0,4,2598488640.0
22.66,3,1022963040.0000001,4,4091852160.0000005
26.04,3,1175549760.0,4,4702199040.0
42.26,3,1907785440.0,4,7631141760.0
44.16,3,1993559039.9999998,4,7974236159.999999
46.2,3,2085652800.0,4,8342611200.0
42.74,3,1929454560.0,4,7717818240.0
30.14,3,1360640160.0000002,4,5442560640.000001
37.64,3,1699220160.0000002,4,6796880640.000001
48.16,3,2174135039.9999995,4,8696540159.999998
43.08,3,1944803519.9999998,4,7779214079.999999
10.45,3,471754799.99999994,4,1887019199.9999998
13.33,3,601769520.0,4,2407078080.0
41.05,3,1853161199.9999998,4,7412644799.999999
26.42,3,1192704480.0000002,4,4770817920.000001
12.8,3,577843200.0,4,2311372800.0
24.89,3,1123634160.0000002,4,4494536640.000001
30.02,3,1355222880.0,4,5420891520.0
40.77,3,1840520880.0000002,4,7362083520.000001
48.44,3,2186775360.0,4,8747101440.0
13.28,3,599512319.9999999,4,2398049279.9999995
12.94,3,584163360.0,4,2336653440.0
44.37,3,2003039279.9999998,4,8012157119.999999
29.31,3,1323170639.9999998,4,5292682559.999999
31.67,3,1429710480.0000002,4,5718841920.000001
21.74,3,981430559.9999999,4,3925722239.9999995
29.56,3,1334456639.9999998,4,5337826559.999999
10.8,3,487555200.0,4,1950220800.0
33.24,3,1500586560.0000002,4,6002346240.000001
30.96,3,1397658240.0,4,5590632960.0
37.64,3,1699220160.0000002,4,6796880640.000001
28.33,3,1278929519.9999998,4,5115718079.999999
10.57,3,477172080.00000006,4,1908688320.0000002
34.35,3,1550696400.0,4,6202785600.0
16.02,3,723206880.0,4,2892827520.0
17.98,3,811689120.0,4,3246756480.0
15.11,3,682125840.0,4,2728503360.0
45.91,3,2072561039.9999998,4,8290244159.999999
49.07,3,2215216080.0,4,8860864320.0
31.28,3,1412104320.0,4,5648417280.0
41.0,3,1850904000.0,4,7403616000.0
30.5,3,1376892000.0,4,5507568000.0
44.86,3,2025159840.0,4,8100639360.0
11.04,3,498389759.99999994,4,1993559039.9999998
46.77,3,2111384880.0000002,4,8445539520.000001
26.41,3,1192253040.0,4,4769012160.0
38.07,3,1718632080.0,4,6874528320.0
26.63,3,1202184720.0,4,4808738880.0
29.49,3,1331296560.0,4,5325186240.0
28.68,3,1294729920.0,4,5178919680.0
43.88,3,1980918720.0000002,4,7923674880.000001
34.58,3,1561079519.9999998,4,6244318079.999999
13.77,3,621632880.0,4,2486531520.0
33.41,3,1508261039.9999998,4,6033044159.999999
45.28,3,2044120320.0000002,4,8176481280.000001
19.2,3,866764800.0,4,3467059200.0
30.87,3,1393595280.0,4,5574381120.0
28.71,3,1296084240.0,4,5184336960.0
47.59,3,2148402960.0000005,4,8593611840.000002
48.22,3,2176843679.9999995,4,8707374719.999998
42.32,3,1910494080.0000002,4,7641976320.000001
45.07,3,2034640080.0000002,4,8138560320.000001
19.85,3,896108400.0000001,4,3584433600.0000005
36.14,3,1631504160.0000002,4,6526016640.000001
35.31,3,1594034640.0,4,6376138560.0
20.97,3,946669680.0,4,3786678720.0
33.27,3,1501940880.0000002,4,6007763520.000001
23.54,3,1062689759.9999999,4,4250759039.9999995
33.22,3,1499683680.0,4,5998734720.0
31.14,3,1405784160.0000002,4,5623136640.000001
11.72,3,529087680.00000006,4,2116350720.0000002
27.71,3,1250940240.0,4,5003760960.0
25.03,3,1129954320.0,4,4519817280.0
40.28,3,1818400320.0,4,7273601280.0
40.97,3,1849549680.0,4,7398198720.0
43.16,3,1948415039.9999998,4,7793660159.999999
46.38,3,2093778720.0000002,4,8375114880.000001
11.08,3,500195520.00000006,4,2000782080.0000002
48.83,3,2204381520.0,4,8817526080.0
12.91,3,582809040.0,4,2331236160.0
29.21,3,1318656240.0,4,5274624960.0
27.0,3,1218888000.0,4,4875552000.0
27.64,3,1247780160.0000002,4,4991120640.000001
36.87,3,1664459280.0,4,6657837120.0
26.94,3,1216179360.0000002,4,4864717440.000001
36.16,3,1632407039.9999998,4,6529628159.999999
47.5,3,2144340000.0,4,8577360000.0
41.04,3,1852709760.0,4,7410839040.0
32.15,3,1451379600.0,4,5805518400.0
14.35,3,647816400.0,4,2591265600.0
47.25,3,2133054000.0,4,8532216000.0
28.78,3,1299244320.0,4,5196977280.0
48.48,3,2188581120.0,4,8754324480.0
38.17,3,1723146480.0000002,4,6892585920.000001
15.35,3,692960400.0,4,2771841600.0
16.81,3,758870640.0,4,3035482560.0
25.19,3,1137177360.0000002,4,4548709440.000001
37.16,3,1677551039.9999998,4,6710204159.999999
47.71,3,2153820240.0,4,8615280960.0
43.84,3,1979112960.0000002,4,7916451840.000001
45.01,3,2031931440.0,4,8127725760.0
10.86,3,490263840.0,4,1961055360.0
31.97,3,1443253680.0,4,5773014720.0
46.41,3,2095133039.9999998,4,8380532159.999999
49.48,3,2233725120.0,4,8934900480.0
42.08,3,1899659519.9999998,4,7598638079.999999
30.83,3,1391789519.9999998,4,5567158079.999999
13.85,3,625244400.0,4,2500977600.0
17.43,3,786859919.9999999,4,3147439679.9999995
34.47,3,1556113680.0,4,6224454720.0
16.7,3,753904800.0,4,3015619200.0
34.13,3,1540764720.0,4,6163058880.0
12.17,3,549402480.0,4,2197609920.0
19.19,3,866313360.0,4,3465253440.0
24.14,3,1089776160.0000002,4,4359104640.000001
14.63,3,660456720.0,4,2641826880.0
38.29,3,1728563760.0,4,6914255040.0
47.61,3,2149305840.0,4,8597223360.0
11.4,3,514641600.0,4,2058566400.0
44.57,3,2012068080.0000002,4,8048272320.000001
27.12,3,1224305280.0,4,4897221120.0
33.9,3,1530381600.0,4,6121526400.0
48.44,3,2186775360.0,4,8747101440.0
21.88,3,987750720.0,4,3951002880.0
10.7,3,483040800.0,4,1932163200.0
26.24,3,1184578560.0,4,4738314240.0
22.26,3,1004905440.0000001,4,4019621760.0000005
39.84,3,1798536960.0000002,4,7194147840.000001
12.34,3,557076960.0,4,2228307840.0
26.27,3,1185932880.0,4,4743731520.0
23.44,3,1058175360.0000001,4,4232701440.0000005
35.67,3,1610286480.0000002,4,6441145920.000001
48.37,3,2183615279.9999995,4,8734461119.999998
35.19,3,1588617360.0,4,6354469440.0
39.39,3,1778222160.0000002,4,7112888640.000001
11.79,3,532247759.99999994,4,2128991039.9999998
35.38,3,1597194720.0,4,6388778880.0
25.92,3,1170132480.0000002,4,4680529920.000001
14.12,3,637433280.0,4,2549733120.0
41.36,3,1867155839.9999998,4,7468623359.999999
18.56,3,837872640.0,4,3351490560.0
48.46,3,2187678240.0,4,8750712960.0
33.89,3,1529930160.0000002,4,6119720640.000001
15.91,3,718241040.0,4,2872964160.0
45.89,3,2071658160.0,4,8286632640.0
21.74,3,981430559.9999999,4,3925722239.9999995
39.38,3,1777770720.0,4,7111082880.0
47.0,3,2121768000.0,4,8487072000.0
10.42,3,470400480.0,4,1881601920.0
14.39,3,649622160.0,4,2598488640.0
18.5,3,835164000.0,4,3340656000.0
36.61,3,1652721839.9999998,4,6610887359.999999
11.15,3,503355600.0,4,2013422400.0
43.13,3,1947060720.0000002,4,7788242880.000001
37.81,3,1706894640.0,4,6827578560.0
31.96,3,1442802240.0,4,5771208960.0
35.57,3,1605772080.0,4,6423088320.0
31.51,3,1422487440.0,4,5689949760.0
34.41,3,1553405039.9999998,4,6213620159.999999
12.26,3,553465440.0,4,2213861760.0
38.5,3,1738044000.0,4,6952176000.0
36.42,3,1644144480.0000002,4,6576577920.000001
18.25,3,823878000.0,4,3295512000.0
15.98,3,721401120.0,4,2885604480.0
44.45,3,2006650800.0,4,8026603200.0
28.06,3,1266740639.9999998,4,5066962559.999999
35.69,3,1611189360.0,4,6444757440.0
38.27,3,1727660880.0000002,4,6910643520.000001
20.37,3,919583280.0000001,4,3678333120.0000005
45.53,3,2055406320.0000002,4,8221625280.000001
35.84,3,1617960960.0000002,4,6471843840.000001
23.64,3,1067204160.0000001,4,4268816640.0000005
49.95,3,2254942800.0,4,9019771200.0
20.38,3,920034719.9999999,4,3680138879.9999995
14.52,3,655490880.0,4,2621963520.0
28.55,3,1288861200.0,4,5155444800.0
42.62,3,1924037279.9999998,4,7696149119.999999
17.17,3,775122480.0000001,4,3100489920.0000005
37.26,3,1682065439.9999998,4,6728261759.999999
17.71,3,799500240.0000001,4,3198000960.0000005
37.35,3,1686128400.0,4,6744513600.0
13.58,3,613055520.0,4,2452222080.0
49.96,3,2255394240.0,4,9021576960.0
37.1,3,1674842400.0,4,6699369600.0
32.05,3,1446865199.9999998,4,5787460799.999999
36.48,3,1646853119.9999998,4,6587412479.999999
42.45,3,1916362800.0,4,7665451200.0
44.24,3,1997170560.0,4,7988682240.0
24.3,3,1096999200.0,4,4387996800.0
36.77,3,1659944880.0000002,4,6639779520.000001
43.24,3,1952026560.0,4,7808106240.0
40.84,3,1843680960.0000002,4,7374723840.000001
31.77,3,1434224880.0,4,5736899520.0
49.31,3,2226050640.0,4,8904202560.0
10.52,3,474914879.99999994,4,1899659519.9999998
30.27,3,1366508880.0,4,5466035520.0
21.35,3,963824400.0,4,3855297600.0
49.53,3,2235982320.0000005,4,8943929280.000002
16.68,3,753001919.9999999,4,3012007679.9999995
44.02,3,1987238880.0000002,4,7948955520.000001
33.25,3,1501038000.0,4,6004152000.0
18.5,3,835164000.0,4,3340656000.0
